noun,support,len,variation,is_human_related
feiticeira,feiticeiro,10,4,True
albanesas,albanes,9,4,True
albaneses,albanes,9,4,True
albanes,albanes,7,4,True
albanesa,albanes,8,4,True
vassalos,vassalo,8,4,True
vassalo,vassalo,7,4,True
vassalas,vassalo,8,4,True
vassala,vassalo,7,4,True
galileias,galileu,9,4,True
agarradeira,agarrador,11,4,True
agarradeiras,agarrador,12,4,True
agarrador,agarrador,9,4,True
agarradores,agarrador,11,4,True
galileia,galileu,8,4,True
galileu,galileu,7,4,True
galileus,galileu,8,4,True
agadanhador,agadanhador,11,4,True
agadanhadora,agadanhador,12,4,True
agadanhadoras,agadanhador,13,4,True
agadanhadores,agadanhador,13,4,True
vedores,vedor,7,4,True
vedoras,vedor,7,4,True
vedora,vedor,6,4,True
vedor,vedor,5,4,True
fiadoras,fiador,8,4,True
fiadora,fiador,7,4,True
fiador,fiador,6,4,True
galesas,gales,7,4,True
galeses,gales,7,4,True
galesa,gales,6,4,True
fiadores,fiador,8,4,True
fiandeiros,fiandeiro,10,4,True
fiandeiro,fiandeiro,9,4,True
fiandeiras,fiandeiro,10,4,True
fiandeira,fiandeiro,9,4,True
vegetariano,vegetariano,11,4,True
vegetarianas,vegetariano,12,4,True
vegetariana,vegetariano,11,4,True
vegetarianos,vegetariano,12,4,True
vaticinadores,vaticinador,13,4,True
vaticinadoras,vaticinador,13,4,True
vaticinador,vaticinador,11,4,True
africana,africano,8,4,True
africanas,africano,9,4,True
africano,africano,8,4,True
africanos,africano,9,4,True
vaticinadora,vaticinador,12,4,True
gambiana,gambiano,8,4,True
gambianas,gambiano,9,4,True
gambiano,gambiano,8,4,True
gambianos,gambiano,9,4,True
agressor,agressor,8,4,True
ferreiras,ferreiro,9,4,True
ferreira,ferreiro,8,4,True
agressora,agressor,9,4,True
vagabundas,vagabundo,10,4,True
vagabunda,vagabundo,9,4,True
vagabundo,vagabundo,9,4,True
agronoma,agronomo,8,4,True
agronomas,agronomo,9,4,True
agronomo,agronomo,8,4,True
agronomos,agronomo,9,4,True
vagabundos,vagabundo,10,4,True
agressoras,agressor,10,4,True
agressores,agressor,10,4,True
agricultor,agricultor,10,4,True
agricultora,agricultor,11,4,True
agricultoras,agricultor,12,4,True
agricultores,agricultor,12,4,True
ferrageiros,ferrageiro,11,4,True
ferrageiro,ferrageiro,10,4,True
ferrageiras,ferrageiro,11,4,True
ferrageira,ferrageiro,10,4,True
agrimensor,agrimensor,10,4,True
agrimensora,agrimensor,11,4,True
agrimensoras,agrimensor,12,4,True
agrimensores,agrimensor,12,4,True
ferreiro,ferreiro,8,4,True
ferreiros,ferreiro,9,4,True
varadora,varador,8,4,True
varador,varador,7,4,True
vaqueiros,vaqueiro,9,4,True
vaqueiro,vaqueiro,8,4,True
vaqueiras,vaqueiro,9,4,True
vaqueira,vaqueiro,8,4,True
varadoras,varador,9,4,True
gales,gales,5,4,True
varadores,varador,9,4,True
agitador,agitador,8,4,True
agitadora,agitador,9,4,True
agitadoras,agitador,10,4,True
agitadores,agitador,10,4,True
valoas,valao,6,4,True
valoa,valao,5,4,True
valao,valao,5,4,True
valoes,valao,6,4,True
agnostica,agnostico,9,4,True
agnosticas,agnostico,10,4,True
agnostico,agnostico,9,4,True
agnosticos,agnostico,10,4,True
triunviro,triunviro,9,4,True
triunviras,triunviro,10,4,True
triunvira,triunviro,9,4,True
triunviros,triunviro,10,4,True
faramalheiros,faramalheiro,13,4,True
trocadora,trocador,9,4,True
trocador,trocador,8,4,True
genitor,genitor,7,4,True
genitora,genitor,8,4,True
genitoras,genitor,9,4,True
genitores,genitor,9,4,True
alheador,alheador,8,4,True
alheadora,alheador,9,4,True
alheadoras,alheador,10,4,True
alheadores,alheador,10,4,True
alheira,alheiro,7,4,True
alheiras,alheiro,8,4,True
alheiro,alheiro,7,4,True
alheiros,alheiro,8,4,True
faramalheiro,faramalheiro,12,4,True
faramalheiras,faramalheiro,13,4,True
faramalheira,faramalheiro,12,4,True
gentia,gentio,6,4,True
gentias,gentio,7,4,True
gentio,gentio,6,4,True
gentios,gentio,7,4,True
fanaticos,fanatico,9,4,True
fanatico,fanatico,8,4,True
fanaticas,fanatico,9,4,True
fanatica,fanatico,8,4,True
georgiana,georgiano,9,4,True
georgianas,georgiano,10,4,True
georgiano,georgiano,9,4,True
falecidos,falecido,9,4,True
falecido,falecido,8,4,True
falecidas,falecido,9,4,True
falecida,falecido,8,4,True
treinador,treinador,9,4,True
treinadora,treinador,10,4,True
treinadoras,treinador,11,4,True
treinadores,treinador,11,4,True
gestor,gestor,6,4,True
gestora,gestor,7,4,True
gestoras,gestor,8,4,True
gestores,gestor,8,4,True
trocadoras,trocador,10,4,True
aliviadora,aliviador,10,4,True
aliviadoras,aliviador,11,4,True
aliviadores,aliviador,11,4,True
aliviador,aliviador,9,4,True
georgianos,georgiano,10,4,True
germanas,germano,8,4,True
falsificador,falsificador,12,4,True
germano,germano,7,4,True
